,City,Employers,Jobs
0,San Francisco,Facebook,22
1,New York,Facebook,21
2,Washington,MITRE,19
3,Washington,Leidos,19
4,New York,Spotify,13
5,Indianapolis,Lilly UK,13
6,Washington,IBM,13
7,San Francisco,Google,12
8,Indianapolis,Eli Lilly,12
9,San Francisco,Twitter,10
10,Washington,Perspecta,10
11,Washington,Capital One,9
12,Indianapolis,Salesforce,9
13,New York,Bloomberg,9
14,San Francisco,Wish,8
15,New York,IBM,8
16,San Francisco,Salesforce,7
17,Washington,DataRobot,7
18,San Francisco,Roblox,7
19,Chicago,GoHealth,7
20,Washington,Novetta,7
21,Washington,General Dynamics Information Technology,7
22,Washington,SAIC,7
23,San Francisco,Pinterest,7
24,San Francisco,UCSF Medical Center,6
25,San Francisco,Adobe,6
26,San Francisco,University of California San Francisco,6
27,Washington,Facebook,6
28,Washington,steampunk,6
29,New York,Amazon,6
30,San Francisco,Lyft,6
31,New York,New Jersey Institute of Technology,6
32,San Francisco,Arsenal Biosciences,6
33,New York,Google,6
34,New York,Creative Circle ,6
35,New York,Aquent,5
36,New York,Brookhaven National Laboratory,5
37,Washington,Marriott,5
38,San Francisco,DocuSign,5
39,San Francisco,Oracle,5
40,Washington,Booz Allen Hamilton Inc.,5
41,New York,BNY Mellon,5
42,Washington,"Latitude, Inc.",5
43,San Francisco,Nextdoor,5
44,Chicago,Shure Incorporated,5
45,New York,GroupM Data & Technology,5
46,New York,Compass,5
47,Indianapolis,Covance,5
48,San Francisco,Asana,5
49,New York,"JPMorgan Chase Bank, N.A.",5
50,San Francisco,Blue Owl,5
51,New York,Capital One,5
52,Chicago,Tempus Labs,5
53,New York,BrainStation,5
54,Washington,Volkswagen Group of America,5
55,New York,NYC Data Science Academy,5
56,Chicago,Epsilon,5
57,New York,New School,5
58,Washington,CACI International,5
59,New York,Two Sigma,5
60,New York,Teachers Pay Teachers,5
61,San Francisco,Silicon Valley Bank,5
62,San Francisco,Stitch Fix,5
63,New York,Plymouth Rock Assurance,5
64,Washington,Johns Hopkins Applied Physics Laboratory (APL),4
65,Chicago,Capgemini,4
66,Chicago,Capital One,4
67,Washington,"ADNET Systems, Inc.",4
68,Washington,Atlas Research,4
69,San Francisco,Coinbase,4
70,New York,Vimeo,4
71,Washington,Central Intelligence Agency,4
72,San Francisco,Splunk,4
73,New York,Verizon,4
74,Washington,AstraZeneca,4
75,New York,Aetna,4
76,San Francisco,Diamond Foundry,4
77,Washington,BAE Systems,4
78,New York,Amazon.com Services LLC,4
79,Washington,Amazon,4
80,New York,"Two Sigma Investments, LLC.",4
81,San Francisco,First American Financial Corporation,4
82,Chicago,Aon,4
83,New York,The Rockefeller University,4
84,San Francisco,DoorDash,4
85,Washington,stanleyreid,4
86,Indianapolis,Indiana University,4
87,New York,NBCUniversal,4
88,Washington,Deloitte,4
89,Washington,CNA Corporation,4
90,New York,Point72,4
91,San Francisco,Scale AI,4
92,Chicago,Zoro Tools,4
93,San Francisco,Shaper Tools,4
94,San Francisco,C3.ai,4
95,Washington,Booz Allen Hamilton,4
96,Chicago,Unicom Technologies INC,4
97,San Francisco,Levi Strauss,4
98,San Francisco,Opendoor,4
99,Indianapolis,B2S Life Sciences LLC,4
100,San Francisco,RingCentral,4
101,New York,New York University,4
102,San Francisco,PicnicHealth,4
103,Chicago,The University of Chicago,4
104,Washington,Aptive,3
105,New York,Citadel,3
106,Washington,Google,3
107,Washington,Coverent,3
108,Washington,Blue Water Media,3
109,New York,Peloton Interactive,3
110,San Francisco,SurveyMonkey,3
111,New York,Peloton,3
112,San Francisco,Adikteev,3
113,New York,Tapad,3
114,New York,Match Group,3
115,San Francisco,Benchling,3
116,Washington,Highlight Technologies,3
117,New York,Columbia University,3
118,New York,Comet.ml,3
119,New York,ZS Associates,3
120,San Francisco,CIA,3
121,New York,Genesis Research,3
122,New York,Simons Foundation,3
123,Washington,"GBTI Solutions, Inc.",3
124,New York,frog,3
125,Washington,IMSG/NOAA,3
126,San Francisco,Charles River Laboratories,3
127,Washington,Creative Circle ,3
128,New York,Grubhub,3
129,San Francisco,Color,3
130,San Francisco,Creative Circle ,3
131,Washington,Internal Revenue Service,3
132,New York,IBISWorld,3
133,Washington,Ironclad Technology Services,3
134,New York,ConcertAI,3
135,New York,RBC,3
136,Washington,Battelle,3
137,Washington,Georgetown University,3
138,Chicago,Myticas Consulting,3
139,Indianapolis,MiraVista Diagnostics,3
140,Chicago,Civis Analytics,3
141,Indianapolis,KAR Auction Services,3
142,Chicago,Optiver US,3
143,Washington,Novavax,3
144,San Francisco,Instagram,3
145,Indianapolis,IQVIA,3
146,San Francisco,Joby Aviation,3
147,Washington,Salient CRGT,3
148,Washington,Salesforce,3
149,San Francisco,Snowflake,3
150,Indianapolis,Beckman Coulter Life Sciences,3
151,San Francisco,Natera,3
152,San Francisco,Nektar Therapeutics,3
153,Washington,Two Six Labs,3
